id,route,component,integration,target,state_fixture,expected,test_or_evidence,status
GLOBAL-TARGETS,all,viewport policy,layout,1340x800 and 1280x720,normal,Only Lenovo Tab M9 landscape and laptop floor are supported,tests/e2e/*.spec.js,verified-automated
GLOBAL-NOSCROLL,all,bounded shell,layout,both targets,long and unavailable,No document or card scrolling and no clipped required content,tests/e2e/home-runtime.spec.js; tests/e2e/controls-layout.spec.js; tests/e2e/weather-earthship-layout.spec.js; tests/e2e/energy-layout.spec.js,verified-automated
GLOBAL-CREDENTIALS,all,OpenHAB client,security,live LAN,route navigation,Browser sends no Authorization header or accessToken query,http://127.0.0.1:5190 live browser audit 2026-07-18,verified-live
HEADER-ALERTS,all,header alerts,alerts,both targets,connection and equipment faults,Alerts occupy the header and remain bounded,tests/console-alerts.test.js; tests/ui/HeaderAlerts.test.js,verified-automated
HEADER-BITCOIN,all,header status,content,both targets,normal,Bitcoin price is absent from the header,tests/home-tablet-contract.test.js,verified-automated
HOME-ADVISORY,home,advisory presentation,content,both targets,normal and alert,Advisory appears only in the header and is not duplicated,tests/e2e/home-runtime.spec.js,verified-automated
HOME-TITLES,home,card titles,layout,both targets,normal,Primary Home cards use the available space without redundant visible titles,tests/home-tablet-contract.test.js,verified-automated
HOME-OUTDOOR,home,outdoor temperature card,readability,both targets,normal and unavailable,White large temperature with dynamic provider icon and AQI UV rain chips,tests/home-card-state.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-SPARK-COLOR,home,outdoor sparkline,color policy,both targets,temperature bands,Sparkline uses the exact same color band as the outdoor icon,tests/home-card-state.test.js,verified-automated
HOME-INDOOR,home,indoor temperature card,readability,both targets,normal and unavailable,White primary temperature and matching-size metadata with house thermometer icon,tests/home-card-state.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-BATTERY,home,battery SoC card,status,both targets,charging discharging idle,Centered percentage without SOC label plus color-coded direction and both runtimes,tests/home-card-state.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-BITCOIN,home,Bitcoin card,content,both targets,positive negative unavailable,No in-card history chart and color-coded icon matching Overview conventions,tests/home-tablet-contract.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-WIND,home,wind compass,geometry,both targets,wind and gust bands,Compass scales to card with bold cardinal labels and colored wind metadata,tests/ui/CompassRose.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-BARO,home,barometric sparkline,smoothing,both targets,noisy history,Compact pressure sparkline receives stronger continuous smoothing,tests/history-pipeline.test.js; tests/home-card-state.test.js,verified-automated
HOME-RAIN,home,rain card,content,both targets,rain and dry,Rain icon and reduced text fit with harvested gallons,tests/home-card-state.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-SUNMOON,home,sun and moon card,content,both targets,normal,Rows are vertically centered and include days to next equinox or solstice,tests/ui/SeasonCountdown.test.js; tests/e2e/home-runtime.spec.js,verified-automated
HOME-GOAT,home,goat feedings card,OpenHAB and feedback,both targets,count and OFF to ON,Daily count is read-only and real activation produces brief visual and optional quiet chime,tests/ui/GoatFeedingsCard.test.js; live GoatFeedingsToday and two IDLE rules verified 2026-07-18,verified-live
HOME-VERTICAL,home,all Home cards,layout,both targets,normal,Card contents are vertically justified without overlap,tests/e2e/home-runtime.spec.js,verified-automated
